Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
14377,2157,Female,Loyal Customer,42,Business travel,Business,2393,1,1,3,1,3,5,4,4,4,4,4,5,4,5,0,21.0,satisfied
84965,17926,Female,Loyal Customer,29,Business travel,Eco Plus,789,4,4,4,4,4,4,4,4,5,1,4,1,5,4,128,117.0,satisfied
18144,17427,Female,disloyal Customer,23,Business travel,Eco,351,0,0,0,1,5,0,5,5,4,3,2,4,4,5,0,0.0,satisfied
36334,45313,Male,disloyal Customer,33,Business travel,Eco,175,2,1,2,4,3,2,3,3,4,2,3,1,3,3,0,1.0,neutral or dissatisfied
26919,20147,Male,disloyal Customer,17,Business travel,Eco,403,2,3,2,3,3,2,3,3,3,5,4,2,4,3,0,0.0,neutral or dissatisfied
62195,3467,Female,Loyal Customer,12,Personal Travel,Eco Plus,296,4,3,4,3,1,4,5,1,2,2,4,3,4,1,0,7.0,neutral or dissatisfied
97139,70862,Male,Loyal Customer,30,Business travel,Business,3416,1,1,1,1,5,5,5,5,5,3,2,1,4,5,0,0.0,satisfied
100915,43430,Male,Loyal Customer,9,Business travel,Business,913,1,1,1,1,3,3,3,3,4,3,3,2,1,3,0,0.0,satisfied
74144,76603,Male,Loyal Customer,51,Business travel,Business,2976,1,5,5,5,4,4,3,1,1,1,1,1,1,4,7,8.0,neutral or dissatisfied
6473,47228,Female,Loyal Customer,28,Business travel,Eco Plus,908,5,3,5,3,5,5,5,5,5,2,4,4,3,5,0,0.0,satisfied
21096,29759,Male,Loyal Customer,54,Business travel,Business,548,3,1,1,1,5,3,4,3,3,3,3,3,3,2,0,3.0,neutral or dissatisfied
2854,92408,Male,Loyal Customer,50,Business travel,Business,1892,4,4,2,4,2,3,5,5,5,5,5,3,5,5,28,14.0,satisfied
1035,127066,Male,Loyal Customer,57,Business travel,Business,651,1,4,5,4,4,1,2,1,1,1,1,3,1,2,0,0.0,neutral or dissatisfied
94061,60384,Female,Loyal Customer,34,Business travel,Business,1452,1,0,0,3,5,4,3,3,3,0,3,2,3,4,0,0.0,neutral or dissatisfied
58250,98415,Female,Loyal Customer,52,Business travel,Business,2176,4,4,4,4,4,3,4,4,4,4,4,4,4,5,0,0.0,satisfied
21729,55469,Male,Loyal Customer,36,Business travel,Eco,1825,2,2,2,2,2,2,2,2,3,2,3,4,3,2,0,0.0,neutral or dissatisfied
2220,126352,Male,Loyal Customer,46,Personal Travel,Eco,631,1,4,1,1,3,1,3,3,3,4,5,4,4,3,0,0.0,neutral or dissatisfied
84285,19128,Male,Loyal Customer,21,Personal Travel,Eco,323,3,4,2,3,1,2,4,1,2,3,4,1,4,1,0,28.0,neutral or dissatisfied
63712,123295,Male,Loyal Customer,48,Business travel,Business,650,4,4,4,4,4,4,4,4,4,4,4,3,4,4,68,63.0,satisfied
101237,93061,Female,Loyal Customer,48,Business travel,Business,297,3,3,3,3,2,4,4,4,4,4,4,3,4,5,3,0.0,satisfied
18459,50291,Male,Loyal Customer,51,Business travel,Business,86,3,3,4,3,2,3,2,1,1,1,3,3,1,4,21,16.0,neutral or dissatisfied
10813,80057,Male,Loyal Customer,64,Personal Travel,Eco,1005,4,4,4,4,4,4,4,4,4,4,5,4,4,4,0,1.0,neutral or dissatisfied
10044,76459,Female,Loyal Customer,52,Business travel,Business,481,1,5,5,5,5,4,3,1,1,2,1,3,1,2,11,2.0,neutral or dissatisfied
103320,118053,Female,Loyal Customer,27,Business travel,Business,2078,4,4,4,4,5,5,5,5,3,4,4,5,5,5,3,0.0,satisfied
19099,58566,Male,Loyal Customer,35,Business travel,Business,1687,2,1,1,1,3,3,3,2,2,2,2,3,2,2,0,0.0,neutral or dissatisfied
89320,44235,Female,Loyal Customer,42,Business travel,Business,224,0,0,0,2,4,3,3,3,3,3,3,5,3,2,0,0.0,satisfied
41960,113271,Female,Loyal Customer,56,Business travel,Business,2760,1,1,3,3,5,1,2,5,5,4,1,1,5,3,28,26.0,neutral or dissatisfied
32597,120855,Male,disloyal Customer,11,Business travel,Eco,992,2,3,3,3,2,3,3,2,5,3,5,5,5,2,0,0.0,neutral or dissatisfied
12382,24580,Male,Loyal Customer,42,Business travel,Business,2539,2,3,3,3,1,3,3,2,2,2,2,4,2,4,0,0.0,neutral or dissatisfied
44673,60115,Female,Loyal Customer,11,Business travel,Business,1182,3,3,3,3,5,5,5,5,4,5,5,3,5,5,0,0.0,satisfied
84060,41591,Female,Loyal Customer,29,Personal Travel,Eco,1211,1,3,1,3,2,1,2,2,1,1,4,1,4,2,44,39.0,neutral or dissatisfied
98425,106515,Female,Loyal Customer,59,Business travel,Eco,271,1,4,4,4,2,3,3,1,1,1,1,4,1,2,0,0.0,neutral or dissatisfied
55524,41984,Male,Loyal Customer,44,Business travel,Business,2134,2,2,2,2,4,4,5,4,4,4,5,4,4,4,0,0.0,satisfied
85620,13520,Male,Loyal Customer,45,Business travel,Business,227,5,5,5,5,2,2,4,5,5,5,5,3,5,3,0,0.0,satisfied
2005,4384,Male,Loyal Customer,18,Personal Travel,Eco,618,3,5,3,4,5,3,5,5,4,3,5,5,5,5,15,44.0,neutral or dissatisfied
73360,63117,Male,Loyal Customer,41,Business travel,Business,337,1,1,1,1,3,5,5,5,5,4,5,5,5,3,10,7.0,satisfied
65414,116568,Female,Loyal Customer,58,Business travel,Business,337,1,1,1,1,2,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
80335,128406,Male,Loyal Customer,40,Business travel,Business,646,5,5,5,5,5,5,5,5,5,5,5,3,5,3,0,5.0,satisfied
55547,52550,Female,Loyal Customer,51,Business travel,Business,3562,0,3,0,3,5,4,1,5,5,5,5,1,5,4,0,0.0,satisfied
102488,41734,Female,disloyal Customer,33,Business travel,Eco,695,2,2,2,3,5,2,5,5,2,2,2,5,2,5,0,0.0,neutral or dissatisfied
43300,70637,Female,Loyal Customer,34,Business travel,Eco,946,4,3,3,3,4,4,4,4,4,5,3,2,4,4,12,0.0,neutral or dissatisfied
52021,105280,Female,Loyal Customer,13,Business travel,Business,738,5,5,5,5,3,3,3,3,4,5,5,3,4,3,0,0.0,satisfied
21322,69936,Male,Loyal Customer,35,Business travel,Business,2174,2,1,2,2,2,3,5,5,5,5,5,5,5,3,17,0.0,satisfied
2612,10685,Male,disloyal Customer,39,Business travel,Business,458,5,5,5,1,1,5,1,1,3,5,4,5,4,1,0,0.0,satisfied
28200,43073,Male,Loyal Customer,58,Personal Travel,Eco,236,2,5,2,2,4,2,4,4,5,2,5,5,5,4,5,0.0,neutral or dissatisfied
22254,52583,Female,Loyal Customer,43,Business travel,Business,160,1,1,1,1,4,5,3,4,4,4,5,3,4,5,0,0.0,satisfied
89449,113514,Male,Loyal Customer,55,Business travel,Eco,414,2,3,3,3,2,2,2,2,1,2,3,2,3,2,53,46.0,neutral or dissatisfied
41643,98750,Female,Loyal Customer,62,Personal Travel,Eco,1290,2,5,2,3,5,3,5,2,2,2,2,3,2,3,20,21.0,neutral or dissatisfied
6909,99226,Female,Loyal Customer,45,Business travel,Business,541,4,2,4,4,5,5,5,5,5,5,5,4,5,4,0,10.0,satisfied
5654,23249,Male,disloyal Customer,29,Business travel,Eco,783,1,1,1,4,1,2,2,2,5,5,3,2,3,2,186,200.0,neutral or dissatisfied
79886,86985,Female,Loyal Customer,40,Personal Travel,Eco,907,2,4,2,2,2,2,2,2,4,4,5,5,5,2,0,6.0,neutral or dissatisfied
42491,109112,Female,Loyal Customer,55,Business travel,Eco Plus,816,3,4,4,4,2,3,3,3,3,3,3,3,3,1,4,0.0,neutral or dissatisfied
76255,86151,Female,Loyal Customer,16,Business travel,Business,356,1,1,1,1,1,1,1,1,4,1,3,2,4,1,0,0.0,neutral or dissatisfied
69893,59925,Female,Loyal Customer,37,Business travel,Business,3977,2,2,2,2,2,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
59462,23778,Female,Loyal Customer,47,Business travel,Eco,374,5,5,5,5,2,4,1,5,5,5,5,2,5,1,55,44.0,satisfied
98422,26534,Male,Loyal Customer,60,Business travel,Business,705,4,4,4,4,3,3,5,4,4,4,4,2,4,3,0,0.0,satisfied
91889,125155,Male,Loyal Customer,20,Business travel,Business,1933,3,3,3,3,4,4,4,4,5,4,4,5,4,4,0,0.0,satisfied
53585,86359,Male,Loyal Customer,45,Business travel,Business,762,4,4,4,4,4,4,4,5,5,5,5,4,5,3,31,27.0,satisfied
78435,33774,Male,Loyal Customer,42,Personal Travel,Eco,1990,3,1,2,3,1,2,5,1,4,2,4,2,4,1,96,74.0,neutral or dissatisfied
52076,122453,Male,Loyal Customer,40,Business travel,Business,1898,1,3,3,3,3,3,4,1,1,1,1,3,1,1,0,18.0,neutral or dissatisfied
47158,108281,Female,Loyal Customer,52,Business travel,Business,3669,3,3,3,3,5,4,4,4,4,4,4,3,4,3,12,11.0,satisfied
58711,49851,Male,Loyal Customer,33,Business travel,Business,363,2,2,2,2,5,5,5,5,3,1,1,5,3,5,0,0.0,satisfied
40649,87391,Male,Loyal Customer,66,Business travel,Eco,425,3,2,2,2,3,3,3,3,3,3,4,1,3,3,0,0.0,neutral or dissatisfied
73940,102400,Male,Loyal Customer,51,Business travel,Business,3679,1,1,1,1,4,4,5,5,5,5,5,5,5,2,0,0.0,satisfied
99579,921,Male,Loyal Customer,55,Business travel,Business,1568,2,5,5,5,3,4,4,2,2,2,2,1,2,1,0,0.0,neutral or dissatisfied
74888,78187,Male,Loyal Customer,36,Business travel,Eco,259,1,4,3,4,1,1,1,1,1,2,3,2,3,1,0,0.0,neutral or dissatisfied
43916,87008,Male,Loyal Customer,36,Personal Travel,Eco,907,2,4,1,4,3,1,3,3,3,3,4,5,5,3,1,0.0,neutral or dissatisfied
30992,86460,Female,disloyal Customer,9,Business travel,Eco,762,2,2,2,2,3,2,3,3,4,4,5,4,5,3,0,0.0,neutral or dissatisfied
94036,7934,Female,disloyal Customer,22,Business travel,Eco,194,4,0,4,2,3,4,3,3,3,2,5,4,4,3,0,0.0,satisfied
31247,6772,Female,Loyal Customer,55,Business travel,Business,137,0,5,1,1,3,4,5,2,2,2,2,4,2,5,0,0.0,satisfied
85805,13990,Male,Loyal Customer,39,Personal Travel,Business,160,3,1,3,4,1,3,3,2,2,3,4,4,2,2,0,0.0,neutral or dissatisfied
52876,94957,Female,Loyal Customer,68,Business travel,Business,1819,3,3,3,3,3,3,1,5,5,5,5,4,5,5,0,0.0,satisfied
101171,34870,Female,Loyal Customer,13,Business travel,Business,2248,1,4,2,4,1,1,1,1,5,2,3,1,4,1,400,393.0,neutral or dissatisfied
9160,105490,Male,Loyal Customer,47,Business travel,Business,516,3,3,3,3,2,5,5,3,3,4,3,3,3,3,0,0.0,satisfied
73265,48936,Male,disloyal Customer,43,Business travel,Eco,109,2,0,2,4,3,2,3,3,3,5,4,5,4,3,0,6.0,neutral or dissatisfied
35329,106221,Male,Loyal Customer,33,Business travel,Business,471,1,3,1,1,4,4,4,4,3,3,4,5,4,4,0,0.0,satisfied
78676,41489,Male,Loyal Customer,44,Business travel,Business,1428,3,3,2,3,4,4,5,4,4,4,4,5,4,2,88,69.0,satisfied
613,97911,Male,disloyal Customer,25,Business travel,Business,483,0,4,0,4,5,0,5,5,4,4,5,5,5,5,0,0.0,satisfied
44232,121805,Female,Loyal Customer,48,Business travel,Business,1569,4,4,3,4,2,4,5,5,5,5,5,4,5,3,0,0.0,satisfied
24623,93947,Female,Loyal Customer,64,Personal Travel,Eco,507,3,5,3,5,2,5,5,2,2,3,2,5,2,5,65,66.0,neutral or dissatisfied
38839,64115,Male,Loyal Customer,43,Business travel,Business,2288,5,1,5,5,3,3,3,5,4,4,5,3,5,3,0,0.0,satisfied
50551,116408,Male,Loyal Customer,7,Personal Travel,Eco,337,3,4,3,3,2,3,1,2,3,2,5,5,4,2,0,0.0,neutral or dissatisfied
87435,70662,Female,Loyal Customer,41,Business travel,Business,447,3,5,2,5,3,4,3,3,3,3,3,2,3,3,10,1.0,neutral or dissatisfied
27262,15617,Male,Loyal Customer,49,Personal Travel,Eco,229,4,4,4,3,4,4,5,4,3,5,4,3,4,4,72,75.0,neutral or dissatisfied
18639,55201,Female,Loyal Customer,40,Personal Travel,Eco Plus,1609,4,5,4,3,3,4,3,3,3,5,5,5,4,3,0,0.0,neutral or dissatisfied
65031,17627,Female,Loyal Customer,44,Business travel,Business,1905,5,5,5,5,4,5,1,5,5,5,5,4,5,3,0,0.0,satisfied
77379,17733,Female,Loyal Customer,42,Business travel,Business,3910,3,5,5,5,3,4,4,3,3,3,3,3,3,2,81,68.0,neutral or dissatisfied
31715,106193,Male,Loyal Customer,63,Personal Travel,Eco,302,2,4,2,1,5,2,5,5,3,5,5,5,5,5,0,0.0,neutral or dissatisfied
21897,82825,Male,Loyal Customer,51,Business travel,Eco,640,2,3,3,3,2,2,2,2,2,3,3,3,4,2,0,6.0,neutral or dissatisfied
60640,29279,Male,disloyal Customer,27,Business travel,Eco,859,3,3,3,3,5,3,5,5,4,5,2,4,3,5,79,76.0,neutral or dissatisfied
83682,26584,Male,Loyal Customer,30,Business travel,Business,2957,1,1,1,1,5,4,5,5,5,1,4,1,5,5,0,0.0,satisfied
2787,104863,Female,Loyal Customer,31,Business travel,Business,1813,2,4,4,4,2,2,2,2,3,1,4,1,4,2,0,3.0,neutral or dissatisfied
26815,8479,Female,Loyal Customer,20,Personal Travel,Eco,1187,2,4,2,2,1,2,1,1,5,2,5,5,4,1,0,0.0,neutral or dissatisfied
85967,4207,Male,Loyal Customer,58,Business travel,Business,888,4,4,4,4,2,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
22378,16039,Female,disloyal Customer,47,Business travel,Eco Plus,780,2,2,2,3,4,2,4,4,4,2,2,5,3,4,3,4.0,neutral or dissatisfied
50608,116000,Female,Loyal Customer,26,Personal Travel,Eco,446,3,1,3,2,3,3,3,3,4,2,2,2,3,3,17,1.0,neutral or dissatisfied
100358,41575,Female,Loyal Customer,37,Personal Travel,Eco,1269,3,5,3,5,1,3,1,1,4,3,5,4,4,1,4,0.0,neutral or dissatisfied
39031,81016,Female,Loyal Customer,19,Business travel,Business,1399,3,3,4,3,4,5,4,4,5,4,4,3,4,4,0,0.0,satisfied
33755,49615,Female,Loyal Customer,21,Business travel,Business,3043,1,1,1,1,5,3,4,4,1,4,5,4,2,4,450,470.0,satisfied
16341,109650,Male,Loyal Customer,30,Business travel,Business,3533,2,2,2,2,2,2,2,2,4,2,3,3,3,2,15,12.0,neutral or dissatisfied
74324,95187,Female,Loyal Customer,28,Personal Travel,Eco,239,3,1,3,4,2,3,5,2,2,4,4,2,3,2,4,0.0,neutral or dissatisfied
22437,68802,Male,Loyal Customer,32,Personal Travel,Eco,861,4,4,4,4,4,4,4,4,3,2,5,5,5,4,0,0.0,neutral or dissatisfied
61135,96562,Male,disloyal Customer,61,Business travel,Business,333,3,3,3,1,3,3,3,3,5,2,5,5,4,3,6,0.0,neutral or dissatisfied
43672,29051,Female,Loyal Customer,64,Personal Travel,Eco,954,2,1,2,4,4,4,3,2,2,2,1,3,2,1,0,0.0,neutral or dissatisfied
50315,118057,Female,Loyal Customer,72,Business travel,Eco,862,5,3,3,3,4,3,1,5,5,5,5,5,5,4,5,0.0,satisfied
102896,43700,Male,disloyal Customer,23,Business travel,Eco,489,3,2,3,3,1,3,1,1,2,5,3,2,3,1,51,49.0,neutral or dissatisfied
2877,86089,Male,disloyal Customer,23,Business travel,Eco,356,3,2,3,3,3,3,3,3,3,5,2,4,2,3,28,18.0,neutral or dissatisfied
35712,102165,Female,Loyal Customer,40,Business travel,Business,226,0,0,0,3,5,5,5,5,5,5,5,5,5,4,4,0.0,satisfied
101161,109685,Male,Loyal Customer,51,Personal Travel,Eco,829,1,4,1,1,5,1,5,5,3,3,4,4,4,5,0,0.0,neutral or dissatisfied
93010,1095,Female,Loyal Customer,61,Personal Travel,Eco,229,2,5,2,3,4,5,5,1,1,2,1,3,1,3,0,0.0,neutral or dissatisfied
88581,20262,Male,disloyal Customer,36,Business travel,Business,235,3,3,3,5,1,3,3,1,5,2,2,4,4,1,61,60.0,neutral or dissatisfied
87820,31469,Male,Loyal Customer,25,Business travel,Business,853,5,5,5,5,4,4,4,4,1,5,3,1,5,4,41,33.0,satisfied
96444,69546,Female,disloyal Customer,25,Business travel,Business,2475,1,4,2,3,2,3,3,5,3,4,5,3,5,3,0,28.0,neutral or dissatisfied
11602,106053,Male,Loyal Customer,12,Personal Travel,Eco,452,2,4,5,2,3,5,3,3,5,5,2,4,3,3,21,24.0,neutral or dissatisfied
95836,90531,Female,disloyal Customer,22,Business travel,Business,581,5,4,5,2,1,5,1,1,4,4,4,3,5,1,0,0.0,satisfied
55944,55913,Female,Loyal Customer,62,Personal Travel,Eco,473,3,4,3,4,3,1,1,5,5,3,5,3,5,4,0,0.0,neutral or dissatisfied
10236,120826,Male,Loyal Customer,31,Personal Travel,Eco Plus,666,3,2,3,3,5,3,5,5,3,2,4,3,4,5,0,0.0,neutral or dissatisfied
74487,13754,Male,Loyal Customer,13,Personal Travel,Eco,401,2,5,2,1,2,2,1,2,3,4,5,4,5,2,116,100.0,neutral or dissatisfied
607,60742,Female,Loyal Customer,27,Business travel,Business,628,2,2,2,2,4,4,4,4,5,3,4,5,5,4,46,51.0,satisfied
11867,28637,Female,disloyal Customer,10,Business travel,Eco,2417,2,2,2,3,4,2,4,4,3,4,5,4,4,4,0,0.0,satisfied
48826,115613,Female,disloyal Customer,51,Business travel,Business,480,4,4,4,4,4,4,4,4,3,2,4,4,5,4,0,0.0,satisfied
50046,40219,Male,Loyal Customer,37,Business travel,Eco,387,5,2,2,2,5,5,5,5,3,5,3,3,5,5,0,11.0,satisfied
75457,77992,Female,Loyal Customer,48,Business travel,Eco,214,2,2,5,2,4,3,3,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied
11335,96355,Female,Loyal Customer,48,Personal Travel,Eco,1609,3,5,3,2,4,4,4,2,2,3,2,5,2,4,0,0.0,neutral or dissatisfied
92936,54448,Female,disloyal Customer,46,Business travel,Business,844,2,2,2,2,4,2,1,4,3,5,5,3,5,4,0,0.0,neutral or dissatisfied
38594,99508,Male,Loyal Customer,53,Personal Travel,Eco,283,4,4,4,3,5,4,2,5,4,2,5,4,5,5,6,11.0,neutral or dissatisfied
53846,56511,Female,Loyal Customer,42,Business travel,Business,3613,4,1,1,1,2,4,3,4,4,4,4,1,4,4,0,28.0,neutral or dissatisfied
62440,117944,Male,disloyal Customer,24,Business travel,Eco,601,1,1,1,3,2,1,2,2,1,3,4,2,4,2,43,36.0,neutral or dissatisfied
58347,113718,Male,Loyal Customer,62,Personal Travel,Eco,397,5,1,5,1,2,5,2,2,3,2,2,4,1,2,3,0.0,satisfied
82924,101598,Female,Loyal Customer,58,Business travel,Business,1371,1,1,1,1,2,5,5,4,4,4,4,4,4,4,11,0.0,satisfied
46910,84245,Female,Loyal Customer,41,Personal Travel,Eco Plus,432,0,4,0,3,4,5,5,4,4,0,4,4,4,4,0,0.0,satisfied
103457,71658,Female,Loyal Customer,67,Personal Travel,Eco,1182,4,5,4,4,2,4,5,2,2,4,2,4,2,5,71,119.0,neutral or dissatisfied
39479,25280,Female,Loyal Customer,27,Business travel,Eco Plus,425,0,0,0,4,3,0,3,3,3,5,1,4,2,3,0,0.0,satisfied
100493,65607,Male,Loyal Customer,23,Business travel,Business,2024,1,4,2,2,4,4,1,4,2,5,3,1,3,4,112,107.0,neutral or dissatisfied
97933,24994,Male,Loyal Customer,27,Business travel,Business,2773,1,0,0,4,2,0,2,2,3,3,3,2,3,2,7,6.0,neutral or dissatisfied
72649,98070,Male,Loyal Customer,29,Business travel,Business,1449,2,4,4,4,2,3,2,2,2,2,4,1,4,2,0,0.0,neutral or dissatisfied
69714,42930,Female,Loyal Customer,41,Business travel,Business,192,4,3,5,3,4,4,4,2,2,2,4,1,2,3,0,0.0,neutral or dissatisfied
16244,94923,Male,Loyal Customer,67,Business travel,Eco,187,3,1,1,1,3,3,3,3,1,5,4,3,3,3,21,21.0,neutral or dissatisfied
85738,98414,Male,Loyal Customer,56,Personal Travel,Eco Plus,462,4,5,4,3,3,4,3,3,4,2,4,5,4,3,11,,satisfied
31464,40171,Female,Loyal Customer,67,Business travel,Eco,463,4,1,5,5,1,5,3,4,4,4,4,4,4,1,0,0.0,satisfied
31679,76418,Female,Loyal Customer,44,Business travel,Business,405,1,1,1,1,5,4,4,5,5,5,5,5,5,3,0,0.0,satisfied
39151,114160,Female,Loyal Customer,51,Business travel,Business,2591,1,1,4,1,3,4,4,5,5,4,5,5,5,4,0,0.0,satisfied
77544,114898,Female,Loyal Customer,50,Business travel,Business,358,2,2,2,2,4,4,5,2,2,2,2,4,2,3,0,0.0,satisfied
73073,43445,Male,Loyal Customer,30,Business travel,Business,3982,1,1,1,1,5,5,5,5,1,1,2,2,3,5,0,0.0,satisfied
18513,32944,Female,Loyal Customer,64,Personal Travel,Eco,101,2,5,2,2,3,5,5,5,5,2,5,3,5,3,0,0.0,neutral or dissatisfied
101261,72921,Female,disloyal Customer,11,Business travel,Eco,1096,2,2,2,4,5,2,5,5,2,5,3,3,3,5,0,0.0,neutral or dissatisfied
89792,8665,Male,Loyal Customer,39,Business travel,Business,227,2,2,3,2,5,5,4,5,5,5,5,4,5,5,2,3.0,satisfied
